"filename", "language", "JavaScript", "CSS", "Vue", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\bricks\drag.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\bricks\menu.js", "JavaScript", 50, 0, 0, 0, 0, 0, 11, 12, 73
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\BrickComponentsV1.vue", "Vue", 0, 0, 94, 0, 0, 0, 2, 8, 104
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\coments.vue", "Vue", 0, 0, 134, 0, 0, 0, 4, 11, 149
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\navBar.vue", "Vue", 0, 0, 184, 0, 0, 0, 3, 7, 194
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\promotSelf.vue", "Vue", 0, 0, 50, 0, 0, 0, 0, 2, 52
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\recommand.vue", "Vue", 0, 0, 45, 0, 0, 0, 0, 4, 49
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\recordInfo.vue", "Vue", 0, 0, 35, 0, 0, 0, 0, 2, 37
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\rulesforBrick.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 3, 5
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\selfnavbar.vue", "Vue", 0, 0, 117, 0, 0, 0, 0, 5, 122
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\towerModel.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\common\toweritem.vue", "Vue", 0, 0, 88, 0, 0, 0, 0, 6, 94
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\login\login.vue", "Vue", 0, 0, 188, 0, 0, 0, 6, 24, 218
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\searchPage\search.vue", "Vue", 0, 0, 313, 0, 0, 0, 0, 9, 322
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\css\HomeMianV2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\design\Tower.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\design\article.json", "JSON", 0, 0, 0, 0, 34, 0, 0, 0, 34
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\design\brick.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 26
